t,x,y,z,vx,vz,roll_deg,pitch_deg,yaw_deg,dist2d,z_err,cross_track,phase,wp,sonar_min,avoid
9.30,3.817,0.408,-2.255,0.648,-0.070,0.0,0.3,4.7,36.185,0.745,0.408,AVOID,1,11.91,1
9.40,3.881,0.414,-2.263,0.639,-0.071,0.0,0.2,5.4,36.121,0.737,0.414,AVOID,1,11.84,1
9.50,3.944,0.421,-2.270,0.628,-0.072,0.0,0.1,6.1,36.058,0.730,0.421,AVOID,1,11.77,1
9.60,4.006,0.428,-2.277,0.615,-0.073,0.0,-0.0,6.7,35.997,0.723,0.428,AVOID,1,11.71,1
9.70,4.054,0.433,-2.283,0.604,-0.074,-0.0,-0.2,7.1,35.948,0.717,0.433,AVOID,1,11.66,1
9.80,4.114,0.439,-2.290,0.590,-0.074,-0.0,-0.4,7.6,35.889,0.710,0.439,AVOID,1,11.60,1
9.90,4.172,0.446,-2.297,0.575,-0.074,-0.1,-0.6,8.0,35.831,0.703,0.446,AVOID,1,11.55,1
10.00,4.228,0.452,-2.304,0.559,-0.074,-0.1,-0.7,8.3,35.775,0.696,0.452,AVOID,1,11.49,1
10.10,4.283,0.459,-2.310,0.543,-0.072,-0.1,-0.9,8.6,35.720,0.690,0.459,AVOID,1,11.44,1
10.20,4.325,0.464,-2.315,0.530,-0.071,-0.1,-1.0,8.7,35.678,0.685,0.464,AVOID,1,11.38,1
10.30,4.377,0.470,-2.321,0.514,-0.069,-0.1,-1.1,8.9,35.626,0.679,0.470,AVOID,1,11.33,1
10.40,4.418,0.474,-2.326,0.500,-0.066,-0.1,-1.2,9.0,35.585,0.674,0.474,AVOID,1,11.28,1
10.50,4.467,0.480,-2.331,0.484,-0.063,-0.1,-1.2,9.2,35.537,0.669,0.480,AVOID,1,11.23,1
10.60,4.514,0.485,-2.336,0.467,-0.060,-0.0,-1.3,9.3,35.489,0.664,0.485,AVOID,1,11.18,1
10.70,4.560,0.491,-2.341,0.450,-0.056,-0.0,-1.2,9.4,35.444,0.659,0.491,AVOID,1,11.14,1
10.80,4.595,0.495,-2.345,0.436,-0.053,-0.0,-1.2,9.5,35.409,0.655,0.495,AVOID,1,11.09,1
10.90,4.637,0.499,-2.349,0.420,-0.050,0.0,-1.2,9.6,35.366,0.651,0.499,AVOID,1,11.05,1
11.00,4.678,0.504,-2.353,0.403,-0.046,0.0,-1.1,9.7,35.325,0.647,0.504,AVOID,1,11.01,1
11.10,4.718,0.508,-2.357,0.387,-0.043,0.0,-1.1,9.8,35.286,0.643,0.508,AVOID,1,10.97,1
11.20,4.756,0.513,-2.360,0.372,-0.041,0.0,-1.0,9.8,35.248,0.640,0.513,AVOID,1,10.93,1
11.30,4.785,0.516,-2.363,0.360,-0.039,0.0,-1.0,9.8,35.219,0.637,0.516,AVOID,1,10.93,1
11.40,4.820,0.520,-2.366,0.345,-0.036,0.0,-1.0,9.9,35.184,0.634,0.520,AVOID,1,10.89,1
11.50,4.853,0.523,-2.369,0.332,-0.034,-0.0,-1.0,9.9,35.150,0.631,0.523,AVOID,1,10.86,1
11.60,4.879,0.526,-2.371,0.322,-0.033,-0.0,-0.9,9.9,35.124,0.629,0.526,AVOID,1,10.82,1
11.70,4.911,0.529,-2.374,0.311,-0.031,-0.0,-0.9,9.9,35.093,0.626,0.529,AVOID,1,10.79,1
11.80,4.941,0.533,-2.376,0.300,-0.029,-0.1,-0.9,9.9,35.063,0.624,0.533,AVOID,1,10.76,1
11.90,4.965,0.535,-2.378,0.292,-0.028,-0.1,-0.9,10.0,35.039,0.622,0.535,AVOID,1,10.73,1
12.00,4.994,0.538,-2.380,0.283,-0.027,-0.1,-0.9,10.0,35.010,0.620,0.538,AVOID,1,10.70,1
12.10,5.022,0.541,-2.383,0.274,-0.025,-0.1,-0.9,10.0,34.983,0.617,0.541,AVOID,1,10.67,1
12.20,5.049,0.543,-2.385,0.267,-0.024,-0.1,-0.9,10.0,34.956,0.615,0.543,AVOID,1,10.64,1
12.30,5.070,0.545,-2.386,0.262,-0.022,-0.1,-0.9,10.0,34.935,0.614,0.545,AVOID,1,10.62,1
12.40,5.096,0.548,-2.388,0.257,-0.021,-0.0,-0.8,10.1,34.909,0.612,0.548,AVOID,1,10.59,1
12.50,5.121,0.550,-2.389,0.254,-0.020,-0.0,-0.8,10.1,34.883,0.611,0.550,AVOID,1,10.56,1
12.60,5.146,0.552,-2.391,0.252,-0.018,-0.0,-0.7,10.1,34.858,0.609,0.552,AVOID,1,10.54,1
12.70,5.167,0.554,-2.392,0.253,-0.017,0.0,-0.6,10.1,34.838,0.608,0.554,AVOID,1,10.51,1
12.80,5.192,0.557,-2.394,0.255,-0.016,0.0,-0.5,10.1,34.813,0.606,0.557,AVOID,1,10.49,1
12.90,5.217,0.560,-2.395,0.258,-0.015,0.0,-0.4,10.0,34.787,0.605,0.560,AVOID,1,10.46,1
13.00,5.244,0.562,-2.396,0.264,-0.014,0.0,-0.2,9.9,34.761,0.604,0.562,AVOID,1,10.46,1
13.10,5.265,0.565,-2.397,0.270,-0.013,0.0,-0.1,9.8,34.740,0.603,0.565,AVOID,1,10.43,1
13.20,5.292,0.568,-2.398,0.280,-0.012,0.0,0.0,9.6,34.712,0.602,0.568,AVOID,1,10.40,1
13.30,5.321,0.572,-2.400,0.291,-0.012,-0.0,0.2,9.5,34.684,0.600,0.572,AVOID,1,10.38,1
13.40,5.350,0.575,-2.401,0.303,-0.012,-0.0,0.4,9.3,34.655,0.599,0.575,AVOID,1,10.35,1
13.50,5.381,0.580,-2.403,0.314,-0.012,-0.1,0.5,9.1,34.624,0.597,0.580,AVOID,1,10.32,1
13.60,5.412,0.584,-2.404,0.323,-0.014,-0.1,0.6,8.9,34.593,0.596,0.584,AVOID,1,10.28,1
13.70,5.438,0.587,-2.406,0.330,-0.015,-0.1,0.7,8.8,34.567,0.594,0.587,AVOID,1,10.25,1
13.80,5.471,0.592,-2.408,0.338,-0.017,-0.1,0.7,8.6,34.534,0.592,0.592,AVOID,1,10.22,1
13.90,5.505,0.596,-2.410,0.345,-0.019,-0.1,0.6,8.4,34.500,0.590,0.596,AVOID,1,10.19,1
14.00,5.540,0.601,-2.412,0.351,-0.022,-0.1,0.5,8.2,34.466,0.588,0.601,AVOID,1,10.15,1
14.10,5.575,0.606,-2.415,0.355,-0.025,-0.1,0.4,8.1,34.431,0.585,0.606,NAV,1,10.12,0
14.20,5.609,0.610,-2.418,0.338,-0.031,-0.1,0.1,7.9,34.396,0.582,0.610,NAV,1,10.09,0
14.30,5.635,0.614,-2.421,0.325,-0.036,-0.0,-0.1,7.8,34.370,0.579,0.614,NAV,1,10.05,0
14.40,5.667,0.618,-2.424,0.312,-0.044,-0.0,-0.5,7.7,34.339,0.576,0.618,NAV,1,10.02,0
14.50,5.697,0.622,-2.429,0.300,-0.051,0.0,-1.0,7.6,34.309,0.571,0.622,NAV,1,9.99,0
14.60,5.721,0.625,-2.433,0.292,-0.056,0.1,-1.3,7.5,34.285,0.567,0.625,NAV,1,9.97,0
14.70,5.749,0.629,-2.438,0.284,-0.060,0.1,-1.6,7.5,34.257,0.562,0.629,NAV,1,9.94,0
14.80,5.777,0.632,-2.443,0.277,-0.062,0.1,-1.8,7.4,34.229,0.557,0.632,NAV,1,9.92,0
14.90,5.804,0.636,-2.448,0.271,-0.061,0.1,-1.9,7.4,34.201,0.552,0.636,NAV,1,9.89,0
15.00,5.831,0.639,-2.454,0.267,-0.060,0.1,-1.9,7.4,34.175,0.546,0.639,NAV,1,9.86,0
15.10,5.858,0.642,-2.459,0.263,-0.057,0.1,-1.7,7.4,34.148,0.541,0.642,AVOID,1,9.84,1
15.20,5.879,0.645,-2.463,0.261,-0.056,0.0,-1.5,7.5,34.127,0.537,0.645,AVOID,1,9.81,1
15.30,5.905,0.648,-2.467,0.257,-0.054,-0.0,-1.2,7.8,34.102,0.533,0.648,AVOID,1,9.78,1
15.40,5.925,0.650,-2.471,0.252,-0.052,-0.0,-0.9,8.0,34.081,0.529,0.650,AVOID,1,9.75,1
15.50,5.950,0.652,-2.476,0.246,-0.051,-0.1,-0.5,8.4,34.056,0.524,0.652,AVOID,1,9.75,1
15.60,5.974,0.655,-2.481,0.239,-0.051,-0.1,-0.1,8.8,34.032,0.519,0.655,AVOID,1,9.72,1
15.70,5.997,0.657,-2.486,0.233,-0.051,-0.1,0.2,9.2,34.009,0.514,0.657,AVOID,1,9.69,1
15.80,6.016,0.659,-2.490,0.227,-0.052,-0.1,0.4,9.5,33.991,0.510,0.659,AVOID,1,9.67,1
15.90,6.038,0.661,-2.496,0.220,-0.053,-0.1,0.5,9.9,33.968,0.504,0.661,AVOID,1,9.65,1
16.00,6.060,0.663,-2.501,0.214,-0.054,-0.1,0.6,10.3,33.947,0.499,0.663,AVOID,1,9.62,1
16.10,6.081,0.665,-2.507,0.207,-0.056,-0.1,0.5,10.7,33.926,0.493,0.665,AVOID,1,9.60,1
16.20,6.097,0.666,-2.512,0.203,-0.058,-0.0,0.4,11.0,33.910,0.488,0.666,AVOID,1,9.58,1
16.30,6.117,0.668,-2.518,0.198,-0.059,-0.0,0.2,11.4,33.890,0.482,0.668,AVOID,1,9.57,1
16.40,6.137,0.669,-2.524,0.193,-0.060,0.0,-0.0,11.7,33.870,0.476,0.669,AVOID,1,9.55,1
16.50,6.156,0.671,-2.530,0.189,-0.060,0.0,-0.3,12.0,33.851,0.470,0.671,AVOID,1,9.53,1
16.60,6.167,0.672,-2.533,0.188,-0.060,0.0,-0.5,12.2,33.840,0.467,0.672,AVOID,1,9.52,1
16.70,6.182,0.673,-2.538,0.185,-0.061,0.0,-0.7,12.5,33.825,0.462,0.673,AVOID,1,9.52,1
16.80,6.201,0.675,-2.544,0.183,-0.060,0.0,-0.9,12.8,33.806,0.456,0.675,AVOID,1,9.50,1
16.90,6.219,0.677,-2.549,0.181,-0.058,0.0,-1.0,13.1,33.788,0.451,0.677,AVOID,1,9.48,1
17.00,6.237,0.678,-2.555,0.180,-0.056,0.0,-1.1,13.4,33.769,0.445,0.678,AVOID,1,9.47,1
17.10,6.256,0.680,-2.560,0.178,-0.054,-0.0,-1.2,13.7,33.751,0.440,0.680,AVOID,1,9.45,1
17.20,6.270,0.681,-2.564,0.177,-0.052,-0.0,-1.1,13.9,33.737,0.436,0.681,AVOID,1,9.43,1
17.30,6.288,0.683,-2.569,0.176,-0.050,-0.0,-1.0,14.2,33.719,0.431,0.683,AVOID,1,9.42,1
17.40,6.305,0.685,-2.573,0.174,-0.048,-0.1,-0.9,14.5,33.701,0.427,0.685,AVOID,1,9.40,1
17.50,6.323,0.686,-2.578,0.172,-0.046,-0.1,-0.7,14.7,33.684,0.422,0.686,AVOID,1,9.38,1
17.60,6.337,0.688,-2.581,0.170,-0.045,-0.1,-0.5,14.9,33.670,0.419,0.688,AVOID,1,9.36,1
17.70,6.354,0.689,-2.585,0.168,-0.045,-0.1,-0.3,15.1,33.653,0.415,0.689,AVOID,1,9.35,1
17.80,6.371,0.691,-2.590,0.165,-0.044,-0.0,-0.1,15.3,33.636,0.410,0.691,AVOID,1,9.33,1
17.90,6.387,0.692,-2.594,0.162,-0.044,-0.0,0.1,15.6,33.620,0.406,0.692,AVOID,1,9.31,1
18.00,6.404,0.694,-2.599,0.159,-0.044,-0.0,0.2,15.8,33.604,0.401,0.694,AVOID,1,9.30,1
18.10,6.416,0.695,-2.602,0.157,-0.044,0.0,0.2,15.9,33.591,0.398,0.695,AVOID,1,9.28,1
18.20,6.429,0.696,-2.606,0.155,-0.045,0.0,0.2,16.0,33.578,0.394,0.696,AVOID,1,9.27,1
18.30,6.441,0.698,-2.609,0.154,-0.046,0.0,0.2,16.1,33.566,0.391,0.698,AVOID,1,9.27,1
18.40,6.454,0.699,-2.613,0.154,-0.047,0.0,0.1,16.2,33.554,0.387,0.699,AVOID,1,9.25,1
18.50,6.466,0.700,-2.617,0.155,-0.047,0.0,0.0,16.3,33.541,0.383,0.700,AVOID,1,9.23,1
18.60,6.479,0.702,-2.621,0.158,-0.047,0.0,-0.1,16.3,33.529,0.379,0.702,AVOID,1,9.22,1
18.70,6.495,0.704,-2.625,0.163,-0.047,0.0,-0.2,16.3,33.513,0.375,0.704,AVOID,1,9.20,1
18.80,6.508,0.706,-2.629,0.169,-0.046,0.0,-0.2,16.2,33.499,0.371,0.706,AVOID,1,9.19,1
18.90,6.522,0.708,-2.633,0.177,-0.046,0.0,-0.3,16.2,33.486,0.367,0.708,AVOID,1,9.19,1
19.00,6.540,0.711,-2.637,0.188,-0.044,0.0,-0.3,16.1,33.467,0.363,0.711,AVOID,1,9.17,1
19.10,6.559,0.715,-2.641,0.201,-0.042,0.0,-0.2,16.0,33.448,0.359,0.715,AVOID,1,9.15,1
19.20,6.580,0.718,-2.645,0.217,-0.040,-0.0,-0.1,15.9,33.428,0.355,0.718,AVOID,1,9.13,1
19.30,6.598,0.722,-2.649,0.230,-0.038,-0.0,0.1,15.8,33.410,0.351,0.722,AVOID,1,9.11,1
19.40,6.621,0.727,-2.652,0.248,-0.036,-0.0,0.3,15.6,33.387,0.348,0.727,AVOID,1,9.09,1
19.50,6.646,0.732,-2.656,0.264,-0.035,-0.0,0.5,15.5,33.362,0.344,0.732,AVOID,1,9.06,1
19.60,6.668,0.737,-2.659,0.275,-0.034,-0.1,0.7,15.3,33.341,0.341,0.737,AVOID,1,9.03,1
19.70,6.695,0.743,-2.663,0.288,-0.034,-0.1,1.0,15.1,33.313,0.337,0.743,AVOID,1,9.01,1
19.80,6.724,0.749,-2.667,0.299,-0.035,-0.1,1.1,14.9,33.285,0.333,0.749,AVOID,1,8.97,1
19.90,6.747,0.755,-2.670,0.307,-0.036,-0.1,1.2,14.7,33.261,0.330,0.755,AVOID,1,8.94,1
20.00,6.778,0.762,-2.675,0.316,-0.038,-0.1,1.2,14.5,33.231,0.325,0.762,AVOID,1,8.91,1
20.10,6.809,0.769,-2.679,0.325,-0.040,-0.1,1.2,14.2,33.200,0.321,0.769,NAV,1,8.88,0
20.20,6.834,0.775,-2.683,0.314,-0.044,-0.1,1.0,14.0,33.175,0.317,0.775,NAV,1,8.85,0
20.30,6.863,0.782,-2.688,0.299,-0.049,-0.0,0.7,13.7,33.146,0.312,0.782,NAV,1,8.82,0
20.40,6.892,0.789,-2.694,0.286,-0.053,-0.0,0.2,13.4,33.118,0.306,0.789,NAV,1,8.79,0
20.50,6.914,0.794,-2.698,0.277,-0.056,-0.0,-0.2,13.2,33.096,0.302,0.794,NAV,1,8.79,0
20.60,6.940,0.800,-2.704,0.268,-0.058,0.0,-0.7,12.9,33.070,0.296,0.800,NAV,1,8.76,0
20.70,6.966,0.807,-2.709,0.260,-0.058,0.0,-1.2,12.6,33.044,0.291,0.807,NAV,1,8.74,0
20.80,6.991,0.813,-2.714,0.254,-0.056,0.1,-1.6,12.3,33.019,0.286,0.813,NAV,1,8.72,0
20.90,7.011,0.818,-2.718,0.251,-0.055,0.1,-1.9,12.1,33.000,0.282,0.818,NAV,1,8.70,0
21.00,7.035,0.824,-2.722,0.248,-0.051,0.1,-2.0,11.8,32.975,0.278,0.824,NAV,1,8.68,0
21.10,7.059,0.830,-2.726,0.246,-0.047,0.1,-2.1,11.5,32.952,0.274,0.830,NAV,1,8.65,0
21.20,7.083,0.836,-2.730,0.244,-0.042,0.0,-2.0,11.3,32.928,0.270,0.836,AVOID,1,8.63,1
21.30,7.102,0.840,-2.732,0.242,-0.039,0.0,-1.8,11.3,32.909,0.268,0.840,AVOID,1,8.60,1
21.40,7.125,0.846,-2.735,0.239,-0.035,-0.0,-1.5,11.3,32.885,0.265,0.846,AVOID,1,8.57,1
21.50,7.148,0.851,-2.738,0.234,-0.032,-0.1,-1.1,11.4,32.863,0.262,0.851,AVOID,1,8.55,1
21.60,7.167,0.855,-2.740,0.230,-0.030,-0.1,-0.7,11.5,32.845,0.260,0.855,AVOID,1,8.52,1
21.70,7.189,0.860,-2.743,0.224,-0.028,-0.1,-0.4,11.7,32.823,0.257,0.860,AVOID,1,8.50,1
