t,x,y,z,vx,vz,roll_deg,pitch_deg,yaw_deg,dist2d,z_err,cross_track,phase,wp,sonar_min,avoid
0.00,0.006,-0.000,-1.984,0.003,0.028,0.0,3.2,0.0,39.994,1.016,-0.000,INIT,1,15.66,0
0.10,0.007,-0.000,-1.981,0.001,0.028,0.0,3.3,0.0,39.993,1.019,-0.000,INIT,1,15.66,0
0.20,0.007,-0.000,-1.979,-0.002,0.029,0.0,3.3,0.0,39.993,1.021,-0.000,INIT,1,15.66,0
0.30,0.007,-0.000,-1.976,-0.004,0.029,0.0,3.2,0.0,39.993,1.024,-0.000,INIT,1,15.66,0
0.40,0.006,-0.000,-1.973,-0.006,0.030,0.0,3.0,0.0,39.994,1.027,-0.000,INIT,1,15.66,0
0.50,0.006,-0.000,-1.970,-0.008,0.031,0.0,2.7,0.0,39.994,1.030,-0.000,INIT,1,15.66,0
0.60,0.005,-0.000,-1.966,-0.008,0.033,-0.0,2.3,0.0,39.995,1.034,-0.000,INIT,1,15.66,0
0.70,0.004,-0.000,-1.963,-0.008,0.036,-0.0,1.9,0.0,39.996,1.037,-0.000,INIT,1,15.66,0
0.80,0.004,-0.000,-1.959,-0.007,0.039,-0.0,1.5,0.0,39.996,1.041,-0.000,INIT,1,15.66,0
0.90,0.003,-0.000,-1.955,-0.006,0.043,-0.0,1.2,0.0,39.997,1.045,-0.000,INIT,1,15.66,0
1.00,0.003,-0.000,-1.951,-0.004,0.047,-0.0,0.9,0.0,39.997,1.049,-0.000,INIT,1,15.66,0
1.10,0.003,-0.000,-1.946,-0.000,0.052,-0.0,0.8,0.0,39.997,1.054,-0.000,INIT,1,15.66,0
1.20,0.003,-0.000,-1.941,0.014,0.056,0.0,0.8,0.0,39.997,1.059,-0.000,INIT,1,15.66,0
1.30,0.006,-0.000,-1.935,0.028,0.060,0.0,0.9,0.1,39.994,1.065,-0.000,INIT,1,15.66,0
1.40,0.009,-0.000,-1.929,0.043,0.062,0.0,1.1,0.2,39.991,1.071,-0.000,INIT,1,15.65,0
1.50,0.015,-0.001,-1.923,0.057,0.062,0.0,1.4,0.4,39.985,1.077,-0.001,INIT,1,15.65,0
1.60,0.021,-0.001,-1.917,0.071,0.061,0.0,1.7,0.6,39.979,1.083,-0.001,INIT,1,15.64,0
1.70,0.029,-0.002,-1.911,0.085,0.059,0.0,2.0,0.9,39.971,1.089,-0.002,INIT,1,15.63,0
1.80,0.039,-0.002,-1.906,0.100,0.055,0.0,2.2,1.3,39.961,1.094,-0.002,INIT,1,15.63,0
1.90,0.048,-0.002,-1.902,0.111,0.051,0.0,2.2,1.5,39.952,1.098,-0.002,INIT,1,15.62,0
2.00,0.060,-0.003,-1.898,0.126,0.044,0.0,2.2,1.9,39.940,1.102,-0.003,INIT,1,15.60,0
2.10,0.073,-0.003,-1.895,0.142,0.036,0.0,2.0,2.2,39.927,1.105,-0.003,INIT,1,15.59,0
2.20,0.089,-0.004,-1.892,0.159,0.027,0.0,1.7,2.6,39.911,1.108,-0.004,INIT,1,15.58,0
2.30,0.106,-0.004,-1.890,0.178,0.020,0.0,1.3,2.9,39.894,1.110,-0.004,INIT,1,15.56,0
2.40,0.125,-0.004,-1.889,0.197,0.013,-0.0,0.9,3.3,39.875,1.111,-0.004,INIT,1,15.55,0
2.50,0.141,-0.004,-1.888,0.214,0.009,-0.0,0.5,3.6,39.859,1.112,-0.004,INIT,1,15.53,0
2.60,0.164,-0.004,-1.888,0.236,0.004,-0.0,0.1,3.9,39.836,1.112,-0.004,INIT,1,,0
2.70,0.189,-0.004,-1.887,0.258,0.001,-0.1,-0.2,4.3,39.811,1.113,-0.004,INIT,1,,0
2.80,0.216,-0.003,-1.887,0.280,-0.002,-0.1,-0.5,4.7,39.784,1.113,-0.003,NAV,1,,0
2.90,0.245,-0.003,-1.887,0.303,-0.003,-0.1,-0.6,5.1,39.755,1.113,-0.003,NAV,1,,0
3.00,0.277,-0.002,-1.887,0.325,-0.004,-0.1,-0.6,5.6,39.723,1.113,-0.002,NAV,1,,0
3.10,0.311,-0.002,-1.887,0.347,-0.004,-0.1,-0.5,6.0,39.689,1.113,-0.002,NAV,1,,0
3.20,0.339,-0.001,-1.887,0.364,-0.004,-0.0,-0.3,6.4,39.661,1.113,-0.001,NAV,1,,0
3.30,0.377,-0.000,-1.888,0.384,-0.004,-0.0,-0.0,6.8,39.623,1.112,-0.000,NAV,1,,0
3.40,0.416,0.001,-1.888,0.404,-0.005,0.0,0.3,7.3,39.584,1.112,0.001,NAV,1,,0
3.50,0.458,0.003,-1.889,0.422,-0.005,0.1,0.6,7.8,39.542,1.111,0.003,NAV,1,,0
3.60,0.493,0.004,-1.890,0.437,-0.007,0.1,0.9,8.2,39.507,1.110,0.004,NAV,1,15.20,0
3.70,0.537,0.006,-1.892,0.454,-0.009,0.2,1.2,8.7,39.463,1.108,0.006,NAV,1,15.15,0
3.80,0.584,0.008,-1.894,0.471,-0.012,0.2,1.4,9.2,39.416,1.106,0.008,NAV,1,15.10,0
3.90,0.632,0.010,-1.896,0.489,-0.016,0.2,1.5,9.7,39.368,1.104,0.010,NAV,1,15.05,0
4.00,0.682,0.013,-1.899,0.506,-0.021,0.2,1.5,10.2,39.318,1.101,0.013,NAV,1,15.00,0
4.10,0.724,0.015,-1.902,0.519,-0.025,0.2,1.5,10.6,39.276,1.098,0.015,NAV,1,14.95,0
4.20,0.777,0.019,-1.907,0.537,-0.031,0.1,1.4,11.0,39.223,1.093,0.019,NAV,1,14.95,0
4.30,0.820,0.022,-1.910,0.551,-0.036,0.1,1.3,11.3,39.180,1.090,0.022,NAV,1,14.85,0
4.40,0.876,0.027,-1.916,0.566,-0.042,0.0,1.1,11.6,39.124,1.084,0.027,NAV,1,14.85,0
4.50,0.934,0.032,-1.921,0.580,-0.048,-0.0,1.0,11.8,39.066,1.079,0.032,NAV,1,14.79,0
4.60,0.992,0.038,-1.927,0.592,-0.054,-0.1,0.8,11.7,39.008,1.073,0.038,NAV,1,14.74,0
4.70,1.040,0.043,-1.932,0.600,-0.058,-0.2,0.6,11.6,38.960,1.068,0.043,NAV,1,14.68,0
4.80,1.100,0.050,-1.939,0.610,-0.062,-0.2,0.4,11.2,38.900,1.061,0.050,NAV,1,14.62,0
4.90,1.161,0.058,-1.945,0.618,-0.065,-0.2,0.3,10.7,38.839,1.055,0.058,NAV,1,,0
5.00,1.223,0.066,-1.952,0.626,-0.067,-0.2,0.2,10.0,38.777,1.048,0.066,NAV,1,,0
5.10,1.285,0.075,-1.959,0.632,-0.068,-0.2,0.1,9.2,38.715,1.041,0.075,NAV,1,,0
5.20,1.336,0.082,-1.965,0.635,-0.069,-0.2,0.1,8.5,38.664,1.035,0.082,NAV,1,,0
5.30,1.399,0.092,-1.972,0.639,-0.069,-0.1,0.1,7.7,38.601,1.028,0.092,NAV,1,,0
5.40,1.462,0.101,-1.979,0.643,-0.069,-0.1,0.2,6.9,38.538,1.021,0.101,NAV,1,,0
5.50,1.526,0.111,-1.986,0.645,-0.068,-0.1,0.2,6.1,38.474,1.014,0.111,NAV,1,,0
5.60,1.577,0.119,-1.992,0.646,-0.068,-0.1,0.3,5.6,38.423,1.008,0.119,NAV,1,14.11,0
5.70,1.641,0.128,-1.999,0.648,-0.068,-0.0,0.4,5.1,38.359,1.001,0.128,NAV,1,14.04,0
5.80,1.705,0.137,-2.006,0.649,-0.068,-0.0,0.5,4.8,38.295,0.994,0.137,NAV,1,13.98,0
5.90,1.770,0.146,-2.014,0.650,-0.069,0.0,0.6,4.7,38.231,0.986,0.146,NAV,1,13.91,0
6.00,1.821,0.152,-2.020,0.650,-0.069,0.0,0.6,4.9,38.179,0.980,0.152,NAV,1,13.85,0
6.10,1.886,0.159,-2.027,0.651,-0.070,0.0,0.7,5.3,38.115,0.973,0.159,NAV,1,13.78,0
6.20,1.950,0.166,-2.035,0.651,-0.071,0.1,0.7,5.9,38.050,0.965,0.166,NAV,1,13.72,0
6.30,2.015,0.172,-2.043,0.651,-0.072,0.1,0.7,6.7,37.985,0.957,0.172,NAV,1,13.65,0
6.40,2.080,0.178,-2.051,0.651,-0.073,0.1,0.6,7.5,37.920,0.949,0.178,NAV,1,13.60,0
6.50,2.132,0.183,-2.058,0.651,-0.074,0.2,0.6,8.2,37.869,0.942,0.183,NAV,1,13.60,0
6.60,2.197,0.188,-2.066,0.651,-0.075,0.2,0.5,9.1,37.804,0.934,0.188,NAV,1,13.53,0
6.70,2.262,0.194,-2.074,0.651,-0.075,0.2,0.5,10.0,37.739,0.926,0.194,NAV,1,13.47,0
6.80,2.327,0.200,-2.082,0.651,-0.075,0.2,0.4,10.8,37.674,0.918,0.200,NAV,1,13.40,0
6.90,2.392,0.205,-2.090,0.651,-0.076,0.1,0.4,11.4,37.609,0.910,0.205,NAV,1,13.34,0
7.00,2.444,0.211,-2.096,0.652,-0.075,0.1,0.3,11.8,37.557,0.904,0.211,NAV,1,13.28,0
7.10,2.509,0.217,-2.104,0.652,-0.075,0.0,0.3,12.1,37.491,0.896,0.217,NAV,1,13.22,0
7.20,2.561,0.223,-2.110,0.653,-0.074,-0.0,0.3,12.1,37.439,0.890,0.223,NAV,1,13.15,0
7.30,2.626,0.232,-2.118,0.654,-0.074,-0.1,0.3,11.9,37.374,0.882,0.232,NAV,1,13.09,0
7.40,2.691,0.240,-2.126,0.654,-0.073,-0.2,0.4,11.4,37.310,0.874,0.240,NAV,1,13.02,0
7.50,2.756,0.250,-2.134,0.655,-0.073,-0.2,0.4,10.7,37.245,0.866,0.250,NAV,1,12.95,0
7.60,2.808,0.258,-2.140,0.655,-0.073,-0.3,0.4,10.1,37.193,0.860,0.258,NAV,1,12.88,0
7.70,2.872,0.268,-2.147,0.655,-0.072,-0.3,0.4,9.2,37.129,0.853,0.268,NAV,1,12.82,0
7.80,2.924,0.276,-2.154,0.655,-0.072,-0.3,0.4,8.5,37.077,0.846,0.276,NAV,1,12.75,0
7.90,2.989,0.286,-2.161,0.654,-0.071,-0.3,0.4,7.7,37.012,0.839,0.286,NAV,1,12.69,0
8.00,3.040,0.295,-2.167,0.654,-0.070,-0.3,0.4,7.0,36.961,0.833,0.295,NAV,1,12.69,0
8.10,3.105,0.305,-2.175,0.653,-0.070,-0.2,0.4,6.2,36.896,0.825,0.305,NAV,1,12.62,0
8.20,3.169,0.316,-2.182,0.653,-0.070,-0.1,0.4,5.4,36.832,0.818,0.316,NAV,1,12.55,0
8.30,3.234,0.326,-2.190,0.652,-0.069,-0.1,0.4,4.5,36.768,0.810,0.326,NAV,1,12.49,0
8.40,3.298,0.337,-2.197,0.652,-0.069,-0.0,0.4,3.7,36.703,0.803,0.337,NAV,1,12.42,0
8.50,3.350,0.346,-2.203,0.652,-0.069,-0.0,0.4,3.1,36.652,0.797,0.346,NAV,1,12.36,0
8.60,3.415,0.356,-2.210,0.652,-0.069,0.0,0.4,2.6,36.587,0.790,0.356,NAV,1,12.29,0
8.70,3.480,0.366,-2.218,0.652,-0.068,0.0,0.4,2.3,36.522,0.782,0.366,NAV,1,12.22,0
8.80,3.531,0.374,-2.223,0.653,-0.068,0.0,0.4,2.3,36.470,0.777,0.374,NAV,1,12.16,0
8.90,3.596,0.383,-2.231,0.653,-0.068,0.0,0.4,2.4,36.406,0.769,0.383,NAV,1,12.09,0
9.00,3.661,0.391,-2.238,0.654,-0.068,0.0,0.4,2.8,36.341,0.762,0.391,NAV,1,12.03,0
9.10,3.714,0.397,-2.244,0.655,-0.068,0.0,0.4,3.3,36.289,0.756,0.397,AVOID,1,11.97,1
9.20,3.753,0.401,-2.248,0.654,-0.068,0.0,0.3,3.8,36.250,0.752,0.401,AVOID,1,11.97,1
