t,x,y,z,vx,vz,roll_deg,pitch_deg,yaw_deg,dist2d,z_err,cross_track,phase,wp,sonar_min,avoid
0.00,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,40.000,3.000,0.000,INIT,1,,0
0.10,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,40.000,3.000,0.000,INIT,1,,0
0.20,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,40.000,3.000,0.000,INIT,1,,0
0.30,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,40.000,3.000,0.000,INIT,1,,0
0.40,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,40.000,3.000,0.000,INIT,1,,0
0.50,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,40.000,3.000,0.000,INIT,1,,0
0.60,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,40.000,3.000,0.000,INIT,1,,0
0.70,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,40.000,3.000,0.000,INIT,1,,0
0.80,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,40.000,3.000,0.000,INIT,1,,0
0.90,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,40.000,3.000,0.000,INIT,1,,0
1.00,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,40.000,3.000,0.000,INIT,1,,0
1.10,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,40.000,3.000,0.000,INIT,1,,0
1.20,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,40.000,3.000,0.000,INIT,1,,0
1.30,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,40.000,3.000,0.000,INIT,1,,0
1.40,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,40.000,3.000,0.000,INIT,1,,0
1.50,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,40.000,3.000,0.000,INIT,1,,0
1.60,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,40.000,3.000,0.000,INIT,1,,0
1.70,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,40.000,3.000,0.000,INIT,1,,0
1.80,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,40.000,3.000,0.000,INIT,1,,0
1.90,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,40.000,3.000,0.000,INIT,1,,0
2.00,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,40.000,3.000,0.000,INIT,1,,0
2.10,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,40.000,3.000,0.000,INIT,1,,0
2.20,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,40.000,3.000,0.000,INIT,1,,0
2.30,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,40.000,3.000,0.000,INIT,1,,0
