WP 1/3 Круиз     X:  +0.0 Y:  +0.0 Z:+0.00 V:+0.00 Vz:+0.00 D:30.0м dZ:+3.00 RPY:+0/+0/+0° Сонар:чисто | СОНАР[лучи:0 бл:infм L∞ R∞ U∞ D∞ dir:- yaw_av:+0°] | СЕНС[ор:ODO mag:нет дно:-- имю:нет сонар:нет] | Глубина:БАКИ+РУЛИ (демо) | руль в:+0° гор:+29/+34° B:45%
WP 1/3 Круиз     X:  +0.0 Y:  +0.0 Z:+0.00 V:+0.00 Vz:+0.00 D:30.0м dZ:+3.00 RPY:+0/+0/+0° Сонар:чисто | СОНАР[лучи:0 бл:infм L∞ R∞ U∞ D∞ dir:- yaw_av:+0°] | СЕНС[ор:ODO mag:нет дно:-- имю:нет сонар:нет] | Глубина:БАКИ+РУЛИ (демо) | руль в:+0° гор:+29/+34° B:45%
WP 1/3 AVOID     X:  +0.0 Y:  -0.0 Z:-1.97 V:+0.02 Vz:-10.19 D:30.0м dZ:+1.03 [ОБХОД:PASS] RPY:+0/+1/-9° Сонар:12.7м | СОНАР[лучи:4 бл:12.7м L∞ R∞ U∞ D∞ dir:C yaw_av:+7°] | СЕНС[ор:KALMAN mag:-28° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:+45° гор:+22/+27° B:45%
WP 1/3 AVOID     X:  +0.0 Y:  -0.0 Z:-1.97 V:+0.02 Vz:-3.67 D:30.0м dZ:+1.03 [ОБХОД:PASS] RPY:+0/+1/-9° Сонар:12.7м | СОНАР[лучи:4 бл:12.7м L∞ R∞ U∞ D∞ dir:C yaw_av:+7°] | СЕНС[ор:KALMAN mag:-28° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:+45° гор:+20/+24° B:45%
WP 1/3 AVOID     X:  +0.0 Y:  -0.0 Z:-1.95 V:+0.09 Vz:+0.02 D:30.0м dZ:+1.05 [ОБХОД:PASS] RPY:-0/+2/-7° Сонар:12.6м | СОНАР[лучи:3 бл:12.6м L∞ R∞ U∞ D∞ dir:C yaw_av:+5°] | СЕНС[ор:KALMAN mag:-28° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:+30° гор:+31/+32° B:46%
WP 1/3 AVOID     X:  +0.0 Y:  -0.0 Z:-1.95 V:+0.10 Vz:+0.02 D:30.0м dZ:+1.05 [ОБХОД:PASS] RPY:-0/+2/-6° Сонар:12.6м | СОНАР[лучи:3 бл:12.6м L∞ R∞ U∞ D∞ dir:C yaw_av:+4°] | СЕНС[ор:KALMAN mag:-28° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:+24° гор:+32/+31° B:46%
WP 1/3 AVOID     X:  +0.1 Y:  -0.0 Z:-1.95 V:+0.10 Vz:+0.01 D:29.9м dZ:+1.05 [ОБХОД:PASS] RPY:-0/+2/-5° Сонар:12.6м | СОНАР[лучи:3 бл:12.6м L∞ R∞ U∞ D∞ dir:C yaw_av:+3°] | СЕНС[ор:KALMAN mag:-28° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:+16° гор:+33/+30° B:47%
WP 1/3 AVOID     X:  +0.1 Y:  -0.0 Z:-1.95 V:+0.10 Vz:+0.00 D:29.9м dZ:+1.05 [ОБХОД:PASS] RPY:-0/+2/-5° Сонар:12.6м | СОНАР[лучи:4 бл:12.6м L∞ R∞ U∞ D∞ dir:C yaw_av:+3°] | СЕНС[ор:KALMAN mag:-28° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:+17° гор:+34/+29° B:47%
WP 1/3 AVOID     X:  +0.1 Y:  -0.0 Z:-1.95 V:+0.11 Vz:-0.00 D:29.9м dZ:+1.05 [ОБХОД:PASS] RPY:-0/+1/-5° Сонар:12.6м | СОНАР[лучи:4 бл:12.6м L∞ R∞ U∞ D∞ dir:C yaw_av:+3°] | СЕНС[ор:KALMAN mag:-28° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:+14° гор:+34/+29° B:48%
WP 1/3 AVOID     X:  +0.1 Y:  -0.0 Z:-1.95 V:+0.11 Vz:-0.02 D:29.9м dZ:+1.05 [ОБХОД:PASS] RPY:-0/+0/-5° Сонар:12.6м | СОНАР[лучи:3 бл:12.6м L∞ R∞ U∞ D∞ dir:C yaw_av:+3°] | СЕНС[ор:KALMAN mag:-28° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:+11° гор:+35/+29° B:48%
